Date,Open,High,Low,Close,Adj Close,Volume
2022-08-09,7482.399902,7504.600098,7475.000000,7488.200195,7488.200195,648601100
2022-08-10,7488.200195,7520.700195,7468.600098,7507.100098,7507.100098,766193200
2022-08-11,7507.100098,7515.000000,7460.100098,7465.899902,7465.899902,630220500
2022-08-12,7465.899902,7516.799805,7464.100098,7500.899902,7500.899902,497719500
2022-08-15,7500.899902,7539.200195,7463.500000,7509.200195,7509.200195,460509300
2022-08-16,7509.200195,7563.700195,7509.200195,7536.100098,7536.100098,514362800
2022-08-17,7536.100098,7554.000000,7501.500000,7515.799805,7515.799805,505660900
2022-08-18,7515.799805,7541.899902,7493.700195,7541.899902,7541.899902,606626300
2022-08-19,7541.899902,7578.899902,7513.299805,7550.399902,7550.399902,726312000
2022-08-22,7550.399902,7550.399902,7491.299805,7533.799805,7533.799805,575411700
2022-08-23,7533.799805,7533.799805,7467.600098,7488.100098,7488.100098,673045500
2022-08-24,7488.100098,7488.100098,7410.399902,7471.500000,7471.500000,579010600
2022-08-25,7471.500000,7535.700195,7469.200195,7479.700195,7479.700195,438562000
2022-08-26,7479.700195,7530.700195,7422.000000,7427.299805,7427.299805,627296800
2022-08-30,7427.299805,7486.399902,7351.100098,7361.600098,7361.600098,1120430700
2022-08-31,7361.600098,7378.399902,7263.600098,7284.200195,7284.200195,1154010300
2022-09-01,7284.200195,7284.200195,7131.700195,7148.500000,7148.500000,746248100
2022-09-02,7148.500000,7288.700195,7148.500000,7281.200195,7281.200195,820948300
2022-09-05,7281.200195,7288.500000,7191.200195,7287.399902,7287.399902,670793100
2022-09-06,7287.399902,7324.200195,7256.500000,7300.399902,7300.399902,836364000
2022-09-07,7300.399902,7300.399902,7186.600098,7237.799805,7237.799805,1176357500
2022-09-08,7237.799805,7273.000000,7175.799805,7262.100098,7262.100098,676276000
2022-09-09,7262.100098,7386.600098,7262.100098,7351.100098,7351.100098,703941600
2022-09-12,7351.100098,7483.000000,7351.100098,7473.000000,7473.000000,903301500
2022-09-13,7473.000000,7514.000000,7385.899902,7385.899902,7385.899902,712367700
2022-09-14,7385.899902,7385.899902,7259.200195,7277.299805,7277.299805,1021172400
2022-09-15,7277.299805,7329.000000,7258.700195,7282.100098,7282.100098,843763100
2022-09-16,7282.100098,7297.100098,7236.200195,7236.700195,7236.700195,2140678300
2022-09-20,7236.700195,7326.500000,7171.200195,7192.700195,7192.700195,1046871600
2022-09-21,7192.700195,7258.899902,7170.700195,7237.600098,7237.600098,1446128700
2022-09-22,7237.600098,7243.899902,7149.600098,7159.500000,7159.500000,906687400
2022-09-23,7159.500000,7169.100098,6981.500000,7018.600098,7018.600098,982104000
2022-09-26,7018.600098,7071.100098,6937.399902,7021.000000,7021.000000,1161459400
2022-09-27,7021.000000,7074.000000,6984.600098,6984.600098,6984.600098,1223459100
2022-09-28,6984.600098,7011.500000,6836.299805,7005.399902,7005.399902,1525149400
2022-09-29,7005.399902,7005.399902,6829.299805,6881.600098,6881.600098,1165954500
2022-09-30,6881.600098,6954.899902,6840.100098,6893.799805,6893.799805,1171310300
2022-10-03,6893.799805,6923.799805,6797.399902,6908.799805,6908.799805,1216065800
2022-10-04,6908.799805,7088.200195,6908.700195,7086.500000,7086.500000,1121827800
2022-10-05,7086.500000,7086.500000,6978.000000,7052.600098,7052.600098,868625500
2022-10-06,7052.600098,7079.700195,6961.100098,6997.299805,6997.299805,995714800
2022-10-07,6997.299805,7022.399902,6960.399902,6991.100098,6991.100098,807923600
2022-10-10,6991.100098,6999.200195,6922.899902,6959.299805,6959.299805,918512600
2022-10-11,6959.299805,6959.399902,6860.299805,6885.200195,6885.200195,813949300
2022-10-12,6885.200195,6916.899902,6793.799805,6826.200195,6826.200195,973810400
2022-10-13,6826.200195,6872.899902,6707.600098,6850.299805,6850.299805,1116625200
2022-10-14,6850.299805,6976.299805,6850.299805,6858.799805,6858.799805,881210300
2022-10-17,6858.799805,6959.700195,6850.399902,6920.200195,6920.200195,951222700
2022-10-18,6920.200195,7017.399902,6920.200195,6936.700195,6936.700195,932599200
2022-10-19,6936.700195,6968.299805,6890.700195,6925.000000,6925.000000,699543100
2022-10-20,6925.000000,6954.200195,6894.899902,6943.899902,6943.899902,814484300
2022-10-21,6943.899902,6976.200195,6864.100098,6969.700195,6969.700195,668448000
2022-10-24,6969.700195,7047.399902,6914.700195,7014.000000,7014.000000,620033900
2022-10-25,7014.000000,7025.200195,6949.200195,7013.500000,7013.500000,621328900
2022-10-26,7013.500000,7057.399902,6960.100098,7056.100098,7056.100098,1054624200
2022-10-27,7056.100098,7093.100098,7034.200195,7073.700195,7073.700195,920365100
2022-10-28,7073.700195,7073.700195,6997.500000,7047.700195,7047.700195,683640200
2022-10-31,7047.700195,7132.899902,7030.100098,7094.500000,7094.500000,881761300
2022-11-01,7094.500000,7221.299805,7094.500000,7186.200195,7186.200195,879817800
2022-11-02,7186.200195,7205.100098,7130.500000,7144.100098,7144.100098,688038000
2022-11-03,7144.100098,7188.600098,7076.500000,7188.600098,7188.600098,721711200
2022-11-04,7188.600098,7376.200195,7188.600098,7334.799805,7334.799805,960620800
2022-11-07,7334.799805,7346.700195,7288.000000,7300.000000,7300.000000,718412900
2022-11-08,7300.000000,7313.500000,7244.799805,7306.100098,7306.100098,959888700
2022-11-09,7306.100098,7307.799805,7263.500000,7296.299805,7296.299805,529922700
2022-11-10,7296.299805,7405.100098,7253.399902,7375.299805,7375.299805,769446200
2022-11-11,7375.299805,7408.600098,7316.799805,7318.000000,7318.000000,931267700
2022-11-14,7318.000000,7413.799805,7317.600098,7385.200195,7385.200195,732981800
2022-11-15,7385.200195,7413.000000,7344.899902,7369.399902,7369.399902,939772400
2022-11-16,7369.399902,7394.399902,7341.600098,7351.200195,7351.200195,765409500
2022-11-17,7351.200195,7354.100098,7294.799805,7346.500000,7346.500000,752043800
2022-11-18,7346.500000,7423.500000,7343.500000,7385.500000,7385.500000,844911100
2022-11-21,7385.500000,7402.799805,7343.399902,7376.899902,7376.899902,666262800
2022-11-22,7376.899902,7458.899902,7373.600098,7452.799805,7452.799805,575525600
2022-11-23,7452.799805,7498.299805,7452.799805,7465.200195,7465.200195,872545100
2022-11-24,7465.200195,7488.100098,7443.500000,7466.600098,7466.600098,418286100
